cohort,set_a,set_b,n,jaccard_measured_clean_audit,shared,rho_clean_audit,n_a_declared,n_b_declared,n_shared_declared,jaccard_declared,n_shared_measured,jaccard_measured,n_shared_measured_clean,jaccard_measured_clean_upstream,rho_raw,n_obs_raw,rho_clean_upstream,n_obs_clean,rho_abs_error,jaccard_abs_error
GSE39582,parthanatos,mitophagy,566,0.0377358490566037,6,0.6062220064721706,78,104,6,0.034090909090909,6,0.037037037037037,6,0.0377358490566037,0.6221146450109206,566,0.6062220064721706,566,0.0,6.938893903907227e-17
GSE39582,parthanatos,oxstress,566,0.0718954248366013,11,0.7637814233580205,78,132,11,0.0552763819095477,11,0.0700636942675159,11,0.0718954248366013,0.750271168364292,566,0.7637814233580205,566,0.0,0.0
GSE39582,mitophagy,oxstress,566,0.0320855614973262,6,0.7057267244327503,104,132,7,0.0305676855895196,6,0.031578947368421,6,0.0320855614973262,0.733887466824707,566,0.7057267244327503,566,0.0,6.938893903907228e-18
GSE17538,S_nrf2,S_prolif,232,0.0,0,0.75965569135615,14,157,0,0.0,0,0.0,0,0.0,0.75965569135615,232,0.75965569135615,232,0.0,0.0
GSE17538,S_nrf2,S_mito,232,0.0018957345971563,2,0.7593673900466854,14,1136,2,0.0017421602787456,2,0.0018921475875118,2,0.0018957345971563,0.7598892154168163,232,0.7593673900466854,232,0.0,9.82287168271867e-17
GSE17538,S_nrf2,ferroptosis,232,0.00740192450037,10,0.7780137577384875,14,1679,10,0.005941770647653,10,0.0073855243722304,10,0.00740192450037,0.7785375051173481,232,0.7780137577384875,232,0.0,9.627715291671279e-17
GSE17538,S_nrf2,apoptosis,232,0.0,0,0.73777938799398,14,138,0,0.0,0,0.0,0,0.0,0.7438125733967083,232,0.73777938799398,232,0.0,0.0
GSE17538,S_nrf2,necroptosis,232,0.0,0,0.6913148269519438,14,168,0,0.0,0,0.0,0,0.0,0.7025124498115468,232,0.6913148269519438,232,0.0,0.0
GSE17538,S_nrf2,parthanatos,232,0.0123456790123456,1,0.6592028660994177,14,78,1,0.0109890109890109,1,0.0120481927710843,1,0.0123456790123456,0.6741887681653849,232,0.6592028660994177,232,0.0,7.806255641895632e-17
GSE17538,S_nrf2,mitophagy,232,0.0,0,0.6851634380123354,14,104,0,0.0,0,0.0,0,0.0,0.6914781976939738,232,0.6851634380123354,232,0.0,0.0
GSE17538,S_nrf2,oxstress,232,0.0377358490566037,4,0.7262780877550744,14,132,4,0.028169014084507,4,0.037037037037037,4,0.0377358490566037,0.7275831316825839,232,0.7262780877550744,232,0.0,6.938893903907227e-17
GSE17538,S_prolif,S_mito,232,0.0,0,0.8778188660532894,157,1136,0,0.0,0,0.0,0,0.0,0.8779937688476979,232,0.8778188660532894,232,0.0,0.0
GSE17538,S_prolif,ferroptosis,232,0.0189830508474576,28,0.8770673606399518,157,1679,28,0.0154867256637168,28,0.0189445196211096,28,0.0189830508474576,0.8793055398057616,232,0.8770673606399518,232,0.0,2.775557561562892e-17
GSE17538,S_prolif,apoptosis,232,0.0175438596491228,5,0.8025347451128121,157,138,5,0.0172413793103448,5,0.0174825174825174,5,0.0175438596491228,0.8086611479389337,232,0.8025347451128121,232,0.0,6.938893903907228e-18
GSE17538,S_prolif,necroptosis,232,0.0,0,0.6629873012883222,157,168,0,0.0,0,0.0,0,0.0,0.6739590881221781,232,0.6629873012883222,232,0.0,0.0
GSE17538,S_prolif,parthanatos,232,0.009009009009009,2,0.7113738710601222,157,78,2,0.0085836909871244,2,0.0089285714285714,2,0.009009009009009,0.7230731381981936,232,0.7113738710601222,232,0.0,8.673617379884035e-18
GSE17538,S_prolif,mitophagy,232,0.0079681274900398,2,0.7668305499443576,157,104,2,0.0077220077220077,2,0.0079365079365079,2,0.0079681274900398,0.7721593191476274,232,0.7668305499443576,232,0.0,3.9898639947466563e-17
GSE17538,S_prolif,oxstress,232,0.0120481927710843,3,0.7919713851340311,157,132,3,0.0104895104895104,3,0.0119521912350597,3,0.0120481927710843,0.8006233074310621,232,0.7919713851340311,232,0.0,3.816391647148976e-17
