cohort,score,model,n,events,HR,lo95,hi95,p,n_params,EPV,covariates_used,dropped_constant,n_analysis_subset,note
TCGA-COADREAD,OX5_noNRF2,M1(cc:chemo),309,62,0.9228595048370297,0.7156692788101092,1.1900324505811628,0.5360296039713406,7,8.857142857142858,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo 的同批完整病例
TCGA-COADREAD,OX5_noNRF2,M1+chemo,309,62,0.9295094621083785,0.7225594589417296,1.1957325164830246,0.5694552194314491,8,7.75,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo,,367,M1 + chemo
TCGA-COADREAD,OX5_noNRF2,M1(cc:mmr),232,35,0.9462671674647697,0.666996785351698,1.3424675678903837,0.7569303007526431,7,5.0,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 mmr 的同批完整病例
TCGA-COADREAD,OX5_noNRF2,M1+mmr,232,35,0.9284181424013228,0.6508154619480973,1.3244311137903857,0.6819762362307682,8,4.375,age;male;stg_II;stg_III;stg_IV;stg_Unknown;mmr,,367,M1 + mmr
TCGA-COADREAD,OX5_noNRF2,M1(cc:side),365,85,0.9380724405180809,0.7517143605093045,1.170630694168648,0.5715646675864285,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 side 的同批完整病例
TCGA-COADREAD,OX5_noNRF2,M1+side,365,85,0.9293879338926415,0.7440338789144805,1.160917474518004,0.5187736424254477,8,10.625,age;male;stg_II;stg_III;stg_IV;stg_Unknown;site_rectum,,367,M1 + side
TCGA-COADREAD,OX5_noNRF2,M1(cc:chemo+mmr+side),216,33,0.9198218827394118,0.643705956726884,1.314376987077119,0.646294725046181,7,4.714285714285714,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo+mmr+side 的同批完整病例
TCGA-COADREAD,OX5_noNRF2,M1+chemo+mmr+side,216,33,0.8717442196379369,0.6136927571118445,1.2383036554783033,0.44341211097177713,10,3.3,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo;mmr;site_rectum,,367,M1 + chemo+mmr+side
TCGA-COADREAD,OX6,M1,367,85,0.9235763133479243,0.7415227053750596,1.150326484130924,0.4778681793696079,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,主模型（本文口径）
TCGA-COADREAD,OX6,M1(cc:chemo),309,62,0.9719400078608763,0.7493066871211345,1.260721938182681,0.8302121275703052,7,8.857142857142858,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo 的同批完整病例
TCGA-COADREAD,OX6,M1+chemo,309,62,1.0742251580735438,0.819607059874558,1.4079425943631398,0.6039471936270469,8,7.75,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo,,367,M1 + chemo
TCGA-COADREAD,OX6,M1(cc:mmr),232,35,1.0316837241270695,0.7056954618339046,1.5082586812485612,0.8721067849375728,7,5.0,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 mmr 的同批完整病例
