cohort,set,gene,measured,clean_member,exclusion_set
TCGA-COADREAD,S_mito,ATP5MG,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5MPL,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5PB,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5PD,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5PF,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5PO,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATPAF1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ATPAF2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ATPSCKMT,False,False,OX6_fixed
TCGA-COADREAD,S_mito,AUH,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AURKAIP1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BAD,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BAK1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BAX,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BBC3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCAT2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCKDHA,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCKDHB,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCKDK,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCL2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCL2A1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCL2L1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCL2L10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCL2L11,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCL2L13,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCL2L2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCO2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BCS1L,True,True,OX6_fixed
