file,sheet,row,values
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,1,Oxeiptosis-related genes | lncRNA | Correlation | P-value | Regulation
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,249,KEAP1 | AC005920.2 | -0.234969993904157 | 4.23428817233882e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,250,KEAP1 | AC093157.1 | -0.253640232503412 | 6.45958210560891e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,251,KEAP1 | AC092653.1 | -0.201096973865083 | 8.80515738963164e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,253,KEAP1 | AC079035.1 | -0.297621568789205 | 4.15498315844181e-09 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,257,KEAP1 | AC020908.3 | -0.240813250496526 | 2.38923499694533e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,261,KEAP1 | AC025034.1 | -0.254999101899028 | 5.60006054296791e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,263,KEAP1 | AC100861.1 | 0.217641558177468 | 2.12236389294988e-05 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,264,KEAP1 | AL162274.2 | -0.288432688592225 | 1.2841123797516e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,265,KEAP1 | AC123768.2 | -0.234710012450471 | 4.34200468220418e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,266,KEAP1 | AL590006.1 | -0.33246387156282 | 3.9624850627251e-11 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,267,KEAP1 | AC011462.4 | -0.205559523539018 | 6.06517213639735e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,268,KEAP1 | AC108673.3 | -0.311686846468668 | 6.82864389003025e-10 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,269,KEAP1 | ODF2-AS1 | -0.293561414647213 | 6.87449724628237e-09 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,270,KEAP1 | AC138956.2 | -0.237648498018048 | 3.2632419420528e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,271,KEAP1 | AP002812.2 | -0.237803804712168 | 3.21402113680645e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,274,KEAP1 | AC079210.1 | -0.25851544020619 | 3.85547718984991e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,277,KEAP1 | ZNF433-AS1 | 0.274998724333737 | 6.22377232946361e-08 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,282,KEAP1 | RBM5-AS1 | -0.302264107512822 | 2.31380055408898e-09 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,288,KEAP1 | AC039056.2 | -0.200184944773767 | 9.49279146394043e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,289,KEAP1 | AC253576.2 | -0.248790534137181 | 1.06817600025105e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,290,KEAP1 | Z69666.1 | -0.253961858976153 | 6.24538246649859e-07 | negative
